"genus","species","continent","subgenera","year_described","range","is_in_germany","rare","observer"
"Bombus","affinis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","appositus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","auricomus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","bifarius","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","bimaculatus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","borealis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","caliginosus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","centralis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","citrinus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","crotchii","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","cryptarum","Europe","Bombus",1775,"For Rasmont (1984), B. cryptarum is a rather continental species. It has been found as far east as the Ussuri (E. Siberia) (Rasmont et al., 1986). In the west, it is absent from the Pyrenees and the Iberian and Italian Peninsulas. It has been found only recently in the British Isles and in Ireland. Along the Atlantic coast, B. cryptarum often coexist with B. magnus, both species being difficult to separate. North of the 45th parallel, populations live in the plains, mainly in the Ericaceae heather ; more south, it is a mountain species.","yes","no","Bilyana Stoykova"
"Bombus","fervidus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","flavidus","Europe","Psithyrus",1852,"restricted to the boreal taïga in the north (nominal ssp.) of its distribution and to the subalpine level in the Pyrenees (ssp. lutescens) and in the Alps (ssp. alpium)","no","no","Bilyana Stoykova"
"Bombus","fraternus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","frigidus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","griseocollis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","huntii","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","insularis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","melanopygus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","mixtus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","morrisoni","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","nevadensis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","occidentalis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","pensylvanicus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","perplexus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","rufocinctus","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","sandersoni","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","sitkensis","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","sylvicola","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","ternarius","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","terricola","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","vagans","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","vandykei","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","vosnesenskii","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","flavifrons","North America",,,,"no",,"Bilyana Stoykova"
"Bombus","wurflenii ","Europe","Alpigenobombus",1859,"confined to the mountains and hills of Europe ; it is absent from the British Isles. and in Russia, it is known from the Ural and the Caucasus. Its presence in Finland is unlikely. As this species is rather widespread in Central Europe and Scandinavia, it has been the topic of many articles and is a rather well known bumblebee.","yes","no","Bilyana Stoykova"
"Bombus","alpinus","Europe","Alpinobombus",1758,"All the species of the subgenus Alpinobombus are restricted to the northern tundra or the higher alpine stages of some mountains. Among them, the best known is Bombus alpinus. Whereas the three other West-Palaearctic Alpinobombus species are restricted to the Arctic tundra and spread eastwards to the tundra of N. Russia, alpinus is not found east of the Kola peninsula (see Pittioni, 1942), but spreads southwards to the alpine stages of the Alps and the Carpathians.","no","no","Bilyana Stoykova"
"Bombus","balteatus","Europe","Alpinobombus",1832,"the species is restricted to the strictly arctic milieu. In N. America, it stays north of the 60th parallel, except in a few places in Labrador, on the Hudson Bay and in Quebec, but always beyond the tree-line. It is also found in the islands islands : on Baffin and Ellesmere, and even on the far north of Greenland, i. e. well above the 80° N.
In continental Russia and Siberia, it is restricted to the coast of the Arctic Ocean. It is also present on Novaia Zemlia, Wrangel and some other Siberian islands (Berezin 1995). As in Greenland, polaris can be found up to the 83rd parallel.","no","no","Bilyana Stoykova"
"Bombus","brodmanicus","Europe","Pyrobombus",1909,"The nominal subspecies lives in the western Caucasus, Armenia and NE. Anatolia. The subspecies B. brodmanicus delmasi (Tkalcu) is found in the south of the French Alps and in a few nearby Italian locations.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","cingulatus","Europe","Pyrobombus",1854,"B. cingulatus is found in the coniferous taiga, between the 60th and 70th parallels. More east, its range extends to the Pacific, where it is found along the coast down to the latitudes of Khabarovsk and S Sakhalin (ca 46°N). The limits of its distribution are rather poorly known, due to the common mistake between B. cingulatus and B. hypnorum.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","glacialis","Europe","Pyrobombus",1902,"The distribution of Bombus glacialis is quite special : it is the most northern of the West-Palaearctic bumblebees and is found only on Novaia Zemlia, on Wrangel Is. and on Kolguyev Is. These islands are more than 3000 km apart and, nevertheless, the resemblance between the populations from Novaia Zemlia and Wrangel is quite striking.","no","yes","Ricardo Andres Urrego Alvarez"
"Bombus","haematurus","Europe","Pyrobombus",1870,"The range of the species is of the Pontic type, but its habitat is restricted to the rainy forest zones. It is found in Albania, E. Yugoslavia, Macedonia, Romania, Bulgaria, Greece, Turkey, the Caucasus, Armenia, Azerbaydzhan and N. Iran. It is mostly encountered in Bulgaria and N. Turkey, but common nowhere. It reaches the extreme south-east of the West-Palaearctic region in the Kopet-dag, at the border between Iran and Turkestan. It recently extended its distribution toward the west, reaching now Croatia, Slovenia, Slovakia and Austria (Jenic et al. 2010).","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","hypnorum","Europe","Pyrobombus",1758,"Bombus hypnorum is quite common in a large part of continental Europe. It is found form Normandy (W. France) to Kamchatka and from the Pyrenees to the northern tree-line. It is completely absent from the Mediterranean region. In the Iberian peninsula, it is only found in some montane localities of the Pyrenees. In Italy, it does not live south of the Tuscany. It is absent from the Balkan, as from the steppic regions of Romania, Ukraine and S Russia. It has not been found in Asia Minor. It seems to expand toward the West since one century (Rasmont 1989). It was completely absent from the British Isl. until recently but it was first observed in England in 2001 (BWARS). It extended then very quickly (see http://www.bwars.com/bombus_hypnorum_map.htm). It is now expanding in Iceland where it was first observed in 2008 (http://www.ni.is/frettir/nr/1246).","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","lapponicus","Europe","Pyrobombus",1793,"Since the recent distinction between Bombus lapponicus s.s. and B. monticola (Svensson, 1979a; Pekkarinen, 1982), most of the older data are obsolete. As B. monticola is absent from N. Russia and N. Siberia, we may assume that the ancient data from these region are about B. lapponicus. The range of the species extends approximately between the 65th and 70th parallels in Europe and the 60th and 72nd parallels in Siberia. It extends from the north of the taiga to the tundra, except for its colder parts (Taymyr peninsula).
In Fennoscandia, the ranges of B. lapponicus and B. monticola will remain questionable, as long as the material studied by Løken (1973) has not been revised. According to Svensson (1979a, 1980), B. lapponicus is found throughout the mountains of Fennoscandia to the Atlantic coast of Norway. According to Pekkarinen et al. (1981), who take both species in account, B. lapponicus is found from the northern shores of the Bothnia Gulf, at 65° N, to the shores of the Barents sea.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","jonellus","Europe","Pyrobombus",1802,"The distribution of B. jonellus is very wide : from Iceland and the Sierra Cantabrica (ssp. yarrowianus) in the west to the Anadyr on the Pacific. In the north, the species is present beyond the Arctic Circle. According to Løken ( 1973), it is as common as B. pratorum throughout Scandinavia (ssp. subborealis). In the British Is., Alford (1975) notes that B. jonellus is more common than B. pratorum in Scotland. In Russia, the distribution of B. jonellus is continuous north of the 55th parallel and rather patchy south of this latitude.
In the south of Europe, the range of B. jonellus is restricted to more particular, most often montane biotopes, reaching the highest mountains of the Iberian Peninsula where it is very rare.
Several subspecies quite unconsicuously coated are currently recognized (hebridensis, jonellus, martes, monapiae, subborealis, vogtianus, yarrowianus).","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","modestus","Europe","Pyrobombus",1852,"Bombus modestus is a taiga species, like B. cingulatus, B. sporadicus, B. semenoviellus, B. schrencki and B. patagiatus. However, it is far less common than these and is, indeed, among the rarest and less known species of the West-Palaearctic region. Only few specimens have been collected in Europe. More east, it is known from western Siberia to Far-East to the East.","no","no","Ricardo Andres Urrego Alvarez"
