family,reference
Andrenidae,Nieto et al. 2014 European Bees; Atlas_hymenoptera (http://www.atlashymenoptera.net/page.aspx?id=243)
Apidae,Nieto et al. 2014 European Bees
Colletidae,Nieto et al. 2014 European Bees
Halictidae,Nieto et al. 2014 European Bees
Megachilidae,Nieto et al. 2014 European Bees
Melittidae,Nieto et al. 2014 European Bees
Crabronidae,Schmid-Egger 2018
Sphecidae,Schmid-Egger 2018
Megalodontesidae,Taeger 2002
Pamphiliidae,Van Achterberg 1986
Argidae,https://bladmineerders.nl/parasites/animalia/arthropoda/insecta/hymenoptera/symphyta/tenthredinoidea/argidae/
Blasticotomidae,https://bladmineerders.nl/parasites/animalia/arthropoda/insecta/hymenoptera/symphyta/blasticotomidae/
Braconidae,Belokobylskij et al. 2003
Cimbicidae,https://bladmineerders.nl/parasites/animalia/arthropoda/insecta/hymenoptera/symphyta/tenthredinoidea/cimbicidae/
Diprionidae,https://bladmineerders.nl/parasites/animalia/arthropoda/insecta/hymenoptera/symphyta/tenthredinoidea/diprionidae/
Tenthredinidae,https://bladmineerders.nl/parasites/animalia/arthropoda/insecta/hymenoptera/symphyta/tenthredinoidea/tenthredinidae/
Vespidae,
