family,reference,notes
Bombycidae,,silkworms
Sphingidae,,"known to be pollinators, e.g., Hawk moths, Sphingidae"
Choreutidae,,metalmark moths
Epermeniidae,,narrow winged moths
Coleophoridae,,small moths
Gelechiidae,,twirler moths
Geometridae,,fairy longhorn moths
Adelidae,,seen in Mueller study
Micropterigidae,,
Erebidae,,tiger moths
Noctuidae,,owlet moths
Hesperiidae,Weimers et al. 2018,
Lycaenidae,Weimers et al. 2018,
Nymphalidae,Weimers et al. 2018,
Papilionidae,Weimers et al. 2018,
Pieridae,Weimers et al. 2018,
Riodinidae,Weimers et al. 2018,
Pterophoridae,,plume moths; distinct
Crambidae,,grass moths
Pyralidae,,snout moths
Psychidae,,
Tortricidae,,
Glyphipterigidae,,
Plutellidae,,
Yponomeutidae,,
Zygaenidae,,known to be pollinators
