"species","year_described","range","is_in_germany","rare","observer"
"Eristalinus sepulchralis",1758,"Fennoscandia south to Iberia and the Mediterranean, including N Africa; from Ireland through most of Europe into Turkey and European parts of Russia; through Siberia to the Pacific coast; Japan; China; India.","yes","no","Bilyana Stoykova"
"Eristalinus taeniops",1818,"Portugal, Spain and round the Mediterranean basin (southern France including Corsica, Italy including Sardinia and Sicily, parts of the former Yugoslavia, Albania, Roumania, Cyprus, Greece (including Crete and Rhodes), Turkey, Lebanon, Israel, N Africa (Syria, Egypt, Libya, Tunisia, Morocco), Canary Islands, Transcaucasus; in eastern parts of the Afrotropical region down to South Africa (inclusive) and in Nepal and parts of Pakistan and northern India in the Oriental region.","no","no","Bilyana Stoykova"
"Eristalis abusivus",,,,,"Bilyana Stoykova"
"Eristalis alpina",1798,"from Denmark, the Netherlands (extinct?) and Belgium (extinct?) eastwards through mountainous parts of central and southern Europe (Italy, former Yugoslavia, Caucasus) into European parts of Russia and Turkey; through Siberia to the Pacific coast; Mongolia. In western and central Europe this species seems to have undegone a steep decline during the last 50 years and there are very few recent records.","yes","yes","Bilyana Stoykova"
"Eristalis anthophorina",1817,"Fennoscandia south to eastern France (Jura); from Denmark and the Netherlands eastwards through central Europe into European parts of Russia; through Siberia to the Pacific coast and Japan; Mongolia; in N America from Alaska southwards through mountainous parts to California and New Mexico. In western Europe the range of this species seems to have contracted during the present century, leaving relictual populations at isolated localities in France, Belgium and the Netherlands. There is only one recent record from France (Dirickx et al, 1996).","yes","unclear","Bilyana Stoykova"
"Eristalis arbustorum",1758,"throughout the Palaearctic region, including N Africa; N America from Wisconsin to Labrador and south to Kansas and South Carolina; reaches the Oriental region in northern India. In western Europe, there has been a noticeable decrease in the abundance of this species during the 1990s, which may be due to the widespread use of Ivermectins and similar compounds as systemic helminthicides. These compounds render cow-dung toxic to a range of dung-feeding insects, but their level of toxicity to E.arbustorum remains to be established, so that the extent to which the disappearance of this species is due to the spread of these compounds into general use remains uncertain.","yes","unclear","Bilyana Stoykova"
"Eristalis cerealis",,,,,"Bilyana Stoykova"
"Eristalis cryptarum",1794,"northern Fennoscandia south to the Pyrenees; from Ireland (extinct) through central Europe into Russia and on into central Siberia; Mongolia. In Europe, very localised through much of its range. Drake and Baldock (2013) show that wet flush populations are apparently small, of less than 100 individuals, but that one of these small populations can persist for a number of years.","yes","no","Bilyana Stoykova"
"Eristalis horticola",1776,"Fennoscandia south to N Africa; from Ireland eastwards through much of Europe into Russia and on through Siberia to the Pacific coast (Sakhalin); India.","yes","no","Bilyana Stoykova"
"Eristalis intricaria",1758,"Iceland, Fennoscandia and the Faroes (Jensen, 2001) south to central Spain, but increasingly confined to mountainous regions towards the southern limit of its range and absent from much of southern Europe; from Ireland eastwards through much of northern and central Europe (though very localised in the Alps) into Russia as far as eastern Siberia.","yes","no","Bilyana Stoykova"
